Comment,Likes,Replies
Kaun kaun gana sunne ke saath saath 😉😉 Comments padhne ka shaukeen hai...🤣👍👍,,0
#MyBestSong❤️❤️❤️,1,13
Yahan kis kis ko pata hai ki vo T- Series ki Malkin he. 👍👍👍↩️👍👍↩️👍👍,40,15
Niche mat jana like mangne wale hai,477,5
Who is after Bigg boss,1,6
Robot Marta nhi hai ** uski battery khatm ho gai😂😂😂😊,,0
Kon kon yaha faisu ke tarafse aaya hai😉,,2
I love love love this songgg😘😘😘😘😘,1,20
"After listening song --"" Yaad Falguni ki aane lagi "" 😁",1.3000,4
kis kis ko kuch bhi samaj nahi aya hat uthao😉😉😉,,6
Who is here after the change of the cover page?,,0
Liked it just because of shivin's appearance...❤,1,19
best song...best music....best voice.. neha kakkar💝💝💝💝💝💝💝💝💝💝❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,6
Falguni Pathak is best like  👇♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,150,0
Bohat baria song.I like it,2,91
Brilliant creation💡 is the soul of this song.... 💖 Loved it 💖👏 #T-series👍,1,5
Even I can't believe she is 36 years old😐😐she looks like college girl 😘,,64
Bhai dance ke liye chreographer kar lete,2,9
Pure song ki free mai gand mar di  Ab koi ye nhi kahega hit like mera fav song #adrak loda lehsan,343,22
Sivin❤️❤️❤️,1,18
I really like this song.😍,1,11
Oh amra sat bi asai huya😢😢😢,1,5
3:43 fisu is like tu bhanta hi,3,3
Robot be like - mai madrchod hu jo yha aaya...,169,0
I loved this recreation...Neha kakkar you r best nd divya like beautiful,,0
Apne faizu bhai ke chote role ke liye like to banta hai😂,2,15
Dil jit liya is rimeak ne 😍😍,,20
I like the way she express her feelings  when she eating Maggie with drink😝😝😝😝😘😘😘😘😘😔😔😏😏🥰🥰😒😘🤣😅😝🥰🥰🥰🥰🥰,1,7
Dil se jo gaana sune like karo👇👇👇👇👇👇👇👇👇👇👇👇,737,2
Nice song ❤❤❤,2,16
Kon kon sirf faisu ke liye aaya hai???,,2
Love you love you love you song love you !!!!!!!❤❤❤❤❤❤❤❤💖💗💕💔❤❤,,4
Aage ki story kab tak aayegi ????,1,11
gaane ki maa chod di.. jise lagta ha like kare,419,2
So beautiful  song so pleas like comments  😘🥰😘🥰😘😊,,19
RIP OF ROBOT IN LOVE 😂😂🤣🤣😂😂😂🤣😂🤣😂🤣😂🤣😍😍😍😍😍😍,2,14
Sach mein niche mat Jana like ke bhik maang rahe hai....,,13
Mujhe samajh me nhi ARah hai ki Kiski shadi Kisse ho rahi hai 🤔🤔Jiski problem meri Tarah hai to  👇 Like it,,4
Pure Gaane ki maa behan kr di...who is agree with me like👍,672,2
Mujhe to next zaroori dekhna h last wala osm scene 😘😘😘❤❤,,28
Love you song,3,6
I love this song so beautiful song,1,3
😊😊😊😊😊😊😊😍🥰🥰🥰🥰🥰🥰,1,9
story Jinko nai Samaj Aaya O like karo 👍👍,244,9
Mr. Faisu 🔥🔥🔥🔥🔥,3,10
Who needs part 2  Hit like and also..... 1 like = 1 prayer for the innocent robot 🤖 😂😂😂,,0
Favorite one 💘,1,0
Because I am seeing this song because of Salman khan in bn 13,2,9
Choryographer ko kitne gaaliyan Dena chahiye  Like here,277,6
Itna bi mazy  ka ni hai  main samjha  bhot  hit hai  pyara  hoga kis ko acha ni laga plz bataye,,0
Mene ye song sir faisu ko dekhne ke liye dekhi hu love faisu😊 😊,,46
Nice song yaar😇,,14
2:53 and 3:02 looking like a ankita lokhande same smile . 😍 who agrees,,0
Tiktok mujre ke liye Naya hatayaar 😠😠😠😠,496,192
After hearing lots of callertune finally i watched this song. Anybody can tell me which campany recorder it was. Saala duniya khtm ho gyi recorder chal raha h,1,12
Shayad agle part  2 me story samajh me aye,3,13
Plss bring part 2,2,0
Was she actually dancing or they shot the video while rehearsals? Now she proved she's more dumb than she looks,,2
Falguni pathak original song  Hit like 👇👇 👇👇👇👇 👇👇👇👇👇👇,99,21
Lovely  song  please  take  faisu as hero in movie,1,4
She Is the owner of ' T Series ' .......😍😍,2,8
I love❤😘 this song very much but I can't understand this story 🤔,,15
What a song it is unbelievable. Nyc Divya and Neha for a great song.    Hit like for 100 Million+  view,61,8
Hahahahahaahah   Kisko  kisko  samajh nahi Aya like karo 😜😜😜,648,2
My favourite song for this year,1,0
girl dance is so beautiful.I like this song and dance,,2
When will second part come,,8
She's very pretty and has a nice voice .....keep it up..☺☺☺☺☺,2,22
Kis kis ko meri trah is tatti song ki story smjh ni aai,351,12
Ye song nice hai but filhaal song ke samne kho Gaya %😜%😜%😜  👇👇 Akshay is best,9,17
Rip ROBOT,1,3
Kisi ko wo tick tok wala banda milaa??,1,31
I love this video songs heroin I like him,1,0
Who is the best  phalgun patak 😍😍😍= like  Neha kakar = comment 😇😇😇😇,330,8
I love this  song very much and u are looking very beautiful 😍💕❤️,1,3
Ye hair utha ke dance karne ka kya matlb hai yar🙄🙄 aur iska dance bhi aisa hai jaise bahut dino se khana nai mila hai aalsi typ😏,,7
Are we just going to ignore that they were trying to rip off the concept from Pixar’s amazing movie Walle?! Wth,3,2
Full like and comments  Dosto  Song super duper 👇👇👍👍👍👍👍👍,,0
Kaun kaun remake se pareshan hai 👇 👇 Hit like  👍,342,17
Any 3010 survivor ?????😁😁,1,11
3:42 legend of tik toke faisu  is coming,11,33
3:41 Mr.faisu hit like if u noticed,10,19
Show starts at 1:23       Thank you😘,2,0
Yaad tatti ki aane lgi  😆😆😆😆,224,3
Faisu bhai ko kon kon notice kiya ??,2,7
Beautiful song,2,48
Divya khoshla Kumar 😍,2,0
"Mr fasu is,best 😍😍",,6
Ha asei Sare purane gane ki gaand mar do. 😡🤬😡,115,7
My favourite song,,0
Mr faisu ❤,,3
Kaun Kaun ye ganaa sun rha h....... 👍👍,2,17
XOXO....song...........Love From Bangladesh,1,7
Story kis kis ko nhi samaj aayi LIKE jinko smjh ayi comment hmko b smjha do,439,7
💘Heart touching💘 💭💍,1,5
Like for divya kumar khosla ❤,1,19
🤞👏Wa super 👏🤞 👏👏👏👏,1,2
My favourite song 😘😘😘,,5
Ek like jisko jisko ye song srf sunne me achha lgta h lekin concept kuch smjh nhi aata😂😂😂,35,30
Bechara robot bhi mar gaya ye gana sun kar Hit like for robot 1 like = 1 prayer 😂😂😂😂,33000,460
Niche mat Jana like ki bhikh mag rahe hai,96,11
kon kon ye song aaj sun raha hai kal sun raha hai hit like wala chutiyapa karna jaruri hai kya🤔🤔🤔,79,3
Bechara Robot bhi mar Gaya ye gana sun kar Hit Like for Robot 1 Like = 1 Prayer 😂😂😂,75,3
Gana sunte sunte comments padne ki bimari kis kis ko hai  😉😁😂👌  like here👇,44,2
Jisko kuch bhi samaj nahi aaya wo like karein,18000,314
"Looks like the station where the second last part is shot, is Goregaon station in Mumbai.",5,11
Whose best  Like = Neha kakar 😉😉😉 Comment= Tulsi😋😋😋....,129,4
Ye kesa robot hai jis ki Sirf 7 minutes ka song sun ke hi bettry khatam ho gayi ??? Aur Kahani to mujhe zara samajh nahi aayi 😏😏,60,2
Who see faisu in this song Hit like,50,226
"Gand marne k 3 tarike 1. Wall E ki gand maro 2. Old song ki gand maro 3. Dance step ki gand maro Sala pura bhi nhi dekha gya mujhse to 😑😑 Edit- Thanks for the ""GAND"" bhar k like 😅😅",6.4000,2
Me like sirf faisu ki liye kiya may love may jan,21,479
❤❤Are yaar kis kis ko pashnd hai bhai ya song 💖💖to like karo na😎😎😎,51,0
Mrr faisu ka lyh like toh bntta ha kon kon cahta ha faisu bahi ko tiktok account wapis mil jay.👌👌👌👌👌👌👌👌👌,1,0
Waoo... love the song... many time seen n listen.... And baat kare concept ki.......  1.  Earth par kuch nahi bchaa... expect a robo jiski charging gayi end mai.. 2. Re-birth hai ladki ka bcz its 3000 3. Ab  I think yha videos msg mila robo ko aur whi se sos pucha another planet par... ab wo ladki uss msg ko dekhgi aur ussi ladke ko search kargi jjiska msg hai... now happly live...,4,5
Whose voice is better in yaad piya ki aane lagi?  A)  Falguni patak (like)  B)  Neha kakar (comment),17000,0
Bao song h  Super dupar like  Karo dosto dil se  👇👍👍👍👍👍👍........,,7
People r hating this song but giving views😂😂..waah re duniya...🤣,4,14
Whose voice is better ? Neha kakkar(like) Falguni patak (comment),2,0
Kis Kis ko Gaana Pasand Aya   Bhosdiwale 👉 Like Gandu 👉 comment,1,22
Bhaiya song to aacha  hai but jisko samjhme nahi aaya bo like kar do,907,2
R.I.P ROBOT 1 LIKE FOR ROBO 😂😂,20,17
Jis Jisko Faisu dikha ohhhiii like kare,3,2
Love when faisu was dancing,12,48
Faisu bhai ke liye on like,1,58
Kon kon ye gaana seedha 1.40 min me forward karke sun rha hai  like thoko,413,0
Old song ke maa Bahan kr di😎😎😎,1,28
Main 100like aur 50comment Karti Hu to Mujhe 25like aur 10comment milta hai😔😔😔😔,48,15
Wall E ke Bombay Darshan !😂,2,23
Bechara robot bhi mar gaya gana sunke 😂😂😂 Hit like for robot 1 like = 1 prayer,,0
Robot be like kya bakchodi h be😑 . . Esliye earth PR koi Ni bacha,884,11
Hit a like who is listening in December,2,71
Koi Batayega Story Kya Thi Is Song Ki.?😂,1,15
kise kise gana pasand aaya like,20,15
Original ke kitne bhi remake ho jaye original original hi hota hai boss. If you agree 👍 👍 👍.falguni pathak ki awaaj ki baat hi kuch aur thi yaar.,50,0
Kis kis ko Dono male actors same lg rhe the? Hit like,445,3
"At the end i thought he is going to say ""sitara!will you may marry me?""",,62
Aum vopagal tha jisne ise choda 1like,,17
And Wall-E and Falguni Pathak were ok with this??,1,4
Bechara robot bhi song sun ke mar Gaya😅😅 1 like=one prayer& 1comment = blessings for his soul🤗😥😥,13,32
Maa Bahen ek KR diya gaane ka😠😠😠😠,2.2000,19
4:32 Baap re thik se dekhi kya likha hai,1,2
Nik & Avneet version  👇 https://youtu.be/7JAgQhOtCOw,2,15
"No wonder the robot's system crashed...lol, Like that professor from 3idiots said ""Arreyy kehna kya chahte hoooo""",4,7
Kon Kon Ye song 2019 December me sun raha hai....  👇👇👇👇hit like,26,3
Whose voice is better in yaad piya ki aane lagi?  A)  Falguni patak (like)  B)  Neha kakar (comment),1000,17
Haye Haye robot fida ho gaya  1like=1love for robot,41,10
ഇതെന്ത് പണ്ടാരം.കലങ്ങാത്തവർ  ലൈക്‌ അടി,1,13
Bhaiii ki jalak sbse alg mr.faisu 🍧🧁🍨😍😍😍😘,1,0
Yai to wall-e lag raha h🥰🥰,1,14
Dear stranger whoever reads these !!May your FATHER and MOTHER lives for more than 100 years❤,2.2000,36
Who is after her promotion in bigg boss?,1,2
Yaad piya ki aane lagi ft. Wall E     🤣🤣,,9
"किस कंपनी का मैमोरी कार्ड था, जो दुनिया खत्म होने के बाद भी सुरक्षित रहा और वीडियो को भी सुरक्षित रखा",,19
Me :- seeing the robot :- whats gone with tseries...  After seeing the video :- such a crazy song,2,14
Bechara robot bhi mar gaya gana sunke😂😂😂 Hit like for robot 1 like = 1 prayer Edit- Thanks for 688 likes😁😁😁,701,5
Ye kya bawaseer bana diye ho bhsdk..,2,2
j subah 102 m tha aur shaam hote 104 m,1,2
Gulsan Kumar's Daughter in law rocks,1,0
Jo jo ye gana 10 dec 2019 ko sun ra he wo gaand maraae.,,16
Kaan se khun nikalne lage haan ruined my favorite song😡😡😡,486,3
Yaad piya ki aane lagi 😍😍😍😍😍😍,1,30
I'm waiting 4 the second part,1,0
Kisne notice kiya ki iss vote video main faisu 07 ha??  3:43,2,24
Bro 250 bar video dakh le par man nahi bhar raha Osm song ha yaar,1,11
Who is best. Falguni pathak - like Neha kakkar - Comment 👇👇,594,45
4:34 it's like she showed that to our brain cells for listening to this song,,9
The robot has fellings too but my crush doesn’t have for me 😭 one like one prayer for my love,5,0
Falguni Pathak ❤,1,3
♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ very very naic song bro,1,3
Kis kis Ko song ka concept Smj Nhi aya . Me !😑 Like here 👇👇👇👇,2.8000,16
Faisu 😘😘😘,1,28
Yaad piya ki wow yaar so dhamaka song 😘😘😘😘😎😎😎💖💖💖😜😜😜😋😋😋😊😊😊,,17
Watching  this song only for faisu,2,58
Bechara Robot ko bhi Heart aagya love Song sunkar 💞,,118
Old version kis ko kis ko pasand ha like kara,587,6
Bas gaana banane ke liye dikha diya gaya kuchbhi earth me aadmi nahi bachenge,2,24
She is looks like Santoor wli Mammy 😂,2,41
Sirf pretty si divya k liye yh song sun rhi hu Remake sucks,,9
Fabulous concept 😊😊💖💖💖its amazing,2,42
Bollywood kuch toh sharam karo 2019 mein toh record hi toddi remake karke.. Koi bhi industry itna remake gana nehi banata hain 1 sal mein...agar merese koi sahamt hain toh like thoko,401,27
Bohat accha hai ye song ........ek like tho banta hai...,1,0
Who is here after 100m 😏,1,0
Kisiko kuch samajh main Aya🙄🙄??,1,5
8 December wale like karo ❤️👍,11,13
Story kisko kisko nhi smjh aayi like kro🤣🤣🤣,208,12
"Jo bhi yeh gana abhi sun rha hai nd mera comment padh rha hai👇  Yhana like kar dein😊➡👍 👇👇 👇 And baass basss 17 subscrib...chahiye yarr kar do n plzzz bhaii kar do😊1,200 mein",22,0
Faisu kliye kis kis ne yie video dekha,2,10
I love this song & music & specially divya & divya's dance,1,8
6:45 Me waiting for her to transform in one out of 10 aliens.,6,14
Neha kakkar ke nasib me remake song gana likha hai.😅😅😅,2.2000,8
i  am   very  much   like  shiving,1,15
This  song is very nice song and very interesting song 😘😍,1,6
So liked,2,19
Robot :- babu Rao  Tere ko bola Thana Pubg mat khel  Sala Puri battery dead hogai,,7
Falguni Pathak fans be like - Mai MC hu jo yaha aaya 😌😌,793,10
Is se achha purana wala song hai neha kakar chutiya voice...😡😡,2,10
Kaun kaun gana sunne ke saath saath 😉😉 Comments padhne ka shaukeen hai...🤣👍👍,,0
#MyBestSong❤️❤️❤️,1,13
Yahan kis kis ko pata hai ki vo T- Series ki Malkin he. 👍👍👍↩️👍👍↩️👍👍,40,15
Niche mat jana like mangne wale hai,477,5
Who is after Bigg boss,1,6
Robot Marta nhi hai ** uski battery khatm ho gai😂😂😂😊,,0
Kon kon yaha faisu ke tarafse aaya hai😉,,2
I love love love this songgg😘😘😘😘😘,1,20
"After listening song --"" Yaad Falguni ki aane lagi "" 😁",1.3000,4
kis kis ko kuch bhi samaj nahi aya hat uthao😉😉😉,,6
Who is here after the change of the cover page?,,0
Liked it just because of shivin's appearance...❤,1,19
best song...best music....best voice.. neha kakkar💝💝💝💝💝💝💝💝💝💝❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,6
Falguni Pathak is best like  👇♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,150,0
Bohat baria song.I like it,2,91
Brilliant creation💡 is the soul of this song.... 💖 Loved it 💖👏 #T-series👍,1,5
Even I can't believe she is 36 years old😐😐she looks like college girl 😘,,64
Bhai dance ke liye chreographer kar lete,2,9
Pure song ki free mai gand mar di  Ab koi ye nhi kahega hit like mera fav song #adrak loda lehsan,343,22
Sivin❤️❤️❤️,1,18
I really like this song.😍,1,11
Oh amra sat bi asai huya😢😢😢,1,5
3:43 fisu is like tu bhanta hi,3,3
Robot be like - mai madrchod hu jo yha aaya...,169,0
I loved this recreation...Neha kakkar you r best nd divya like beautiful,,0
Apne faizu bhai ke chote role ke liye like to banta hai😂,2,15
Dil jit liya is rimeak ne 😍😍,,20
I like the way she express her feelings  when she eating Maggie with drink😝😝😝😝😘😘😘😘😘😔😔😏😏🥰🥰😒😘🤣😅😝🥰🥰🥰🥰🥰,1,7
Dil se jo gaana sune like karo👇👇👇👇👇👇👇👇👇👇👇👇,737,2
Nice song ❤❤❤,2,16
Kon kon sirf faisu ke liye aaya hai???,,2
Love you love you love you song love you !!!!!!!❤❤❤❤❤❤❤❤💖💗💕💔❤❤,,4
Aage ki story kab tak aayegi ????,1,11
gaane ki maa chod di.. jise lagta ha like kare,419,2
